chain,pqc_fraction,seed,num_blocks,avg_block_size_bytes,avg_txs_per_block,avg_propagation_p50_ms,avg_propagation_p90_ms,avg_propagation_p95_ms,stale_rate,effective_tps,avg_verification_time_ms,max_verification_time_ms,verification_failure_rate,algo_counts_Ed25519,algo_distribution_Ed25519,block_time_ms,mempool_final_size_bytes,mempool_final_tx_count,mempool_total_accepted,mempool_total_evicted,mempool_total_rejected,total_tx_generated,verification_failures,algo_counts_Falcon-512,algo_counts_ML-DSA-65,algo_counts_SLH-DSA-128f,algo_distribution_Falcon-512,algo_distribution_ML-DSA-65,algo_distribution_SLH-DSA-128f
solana,0.4,2,25,378917.6,210.0,187.86959690937016,266.05769815525247,287.80732471648776,0.04,525.0,8.1221,50.1305,0.0,3159,0.6017142857142858,400,0,0,5250,0,0,5250,0,1469,429,193,0.2798095238095238,0.08171428571428571,0.03676190476190476
solana,0.4,3,25,376678.68,207.8,164.27743061590914,244.08641991085048,275.37737024924036,0.0,519.5,7.4909,43.1892,0.0,3151,0.6065447545717035,400,0,0,5195,0,0,5195,0,1439,404,201,0.2769971126082772,0.07776708373435996,0.03869104908565929
solana,0.4,4,25,391851.08,207.72,175.08338805585697,263.27391153998144,282.09949967489786,0.0,519.3,7.6967,48.8579,0.0,3143,0.6052378201424995,400,0,0,5193,0,0,5193,0,1428,395,227,0.2749855574812247,0.07606393221644521,0.04371269015983054
solana,0.4,5,25,398840.44,203.68,200.89803945252817,273.19318461162925,291.544252957153,0.04,509.20000000000005,7.9634,31.4947,0.0,2968,0.5828750981932443,400,0,0,5092,0,0,5092,0,1449,456,219,0.28456402199528674,0.08955223880597014,0.043008641005498824
solana,0.4,6,25,377618.96,210.24,174.27692763233787,249.5647960652307,265.38515615551137,0.0,525.6,6.8823,39.2694,0.0,3139,0.5972222222222222,400,0,0,5256,0,0,5256,0,1489,443,185,0.2832952815829528,0.08428462709284627,0.03519786910197869
solana,0.4,7,25,378061.6,209.24,200.3988115720795,280.80330637664935,301.65760816026307,0.0,523.1,7.1745,28.8204,0.0,3087,0.5901357293060601,400,0,0,5231,0,0,5231,0,1531,425,188,0.2926782641942267,0.0812464155993118,0.035939590900401455
solana,0.4,8,25,379790.2,210.96,184.027805299963,262.0173152531648,279.4003428483193,0.04,527.4,7.0708,34.5305,0.0,3193,0.605422828972317,400,0,0,5274,0,0,5274,0,1461,424,196,0.2770193401592719,0.08039438756162305,0.037163443306788016
solana,0.4,9,25,379760.08,208.36,158.42690836096813,245.33993827716225,264.19801731766796,0.0,520.9000000000001,6.3064,45.0462,0.0,3135,0.6018429641005951,400,0,0,5209,0,0,5209,0,1471,399,204,0.28239585333077366,0.07659819543098484,0.039162987137646384
solana,0.4,10,25,391371.96,208.64,180.3703331540995,244.01192138780996,264.51626030749975,0.0,521.5999999999999,6.965,39.2733,0.0,3131,0.6002684049079755,400,0,0,5216,0,0,5216,0,1447,422,216,0.27741564417177916,0.08090490797546013,0.04141104294478527
solana,0.45,1,25,443829.04,209.16,183.85582114992056,257.4345851017262,277.5231351626007,0.04,522.9,7.8619,36.346,0.0,2783,0.5322241346337732,400,0,0,5229,0,0,5229,0,1694,506,246,0.32396251673360105,0.09676802447886786,0.04704532415375789
solana,0.45,2,25,415686.08,210.0,204.51509081825506,284.3179391907452,307.66913289423775,0.04,525.0,8.9472,57.6246,0.0,2916,0.5554285714285714,400,0,0,5250,0,0,5250,0,1640,476,218,0.31238095238095237,0.09066666666666667,0.041523809523809525
solana,0.45,3,25,414148.84,207.8,168.0256196767545,251.17720519600567,284.3895423798265,0.04,519.5,8.2108,39.7356,0.0,2893,0.5568816169393648,400,0,0,5195,0,0,5195,0,1623,454,225,0.3124157844080847,0.0873917228103946,0.04331087584215592
solana,0.45,4,25,432800.48,207.72,192.61458251420714,269.7035382035604,285.0131878610021,0.0,519.3,8.4396,49.2435,0.0,2859,0.5505488157134605,400,0,0,5193,0,0,5193,0,1628,454,252,0.31349894088195646,0.08742538031966109,0.04852686308492201
solana,0.45,5,25,439508.8,203.68,208.82800869256226,281.9940561086218,298.7196417775524,0.08,509.20000000000005,8.8366,41.0351,0.0,2706,0.5314218381775334,400,0,0,5092,0,0,5092,0,1633,505,248,0.3206991358994501,0.09917517674783975,0.04870384917517675
