chain,pqc_fraction,seed,num_blocks,avg_block_size_bytes,avg_txs_per_block,avg_propagation_p50_ms,avg_propagation_p90_ms,avg_propagation_p95_ms,stale_rate,effective_tps,avg_verification_time_ms,max_verification_time_ms,verification_failure_rate,verification_failures,block_time_ms,mempool_total_accepted,mempool_total_evicted,mempool_total_rejected,mempool_final_size_bytes,mempool_final_tx_count,total_tx_generated,algo_counts_Ed25519,algo_distribution_Ed25519,algo_counts_ML-DSA-44,algo_counts_ML-DSA-65,algo_counts_SLH-DSA-128f,algo_distribution_ML-DSA-44,algo_distribution_ML-DSA-65,algo_distribution_SLH-DSA-128f
solana,0.35,2,25,4756775.72,1663.16,188.26791446389802,371.33069300264157,415.0661442964091,0.64,4157.900000000001,112.9359,381.6537,0.0,0,400,41579,0,0,0,0,41579,26945,0.6480434834892614,4374,7255,3005,0.10519733519324659,0.1744871209023786,0.0722720604151134
solana,0.35,3,25,4689770.72,1659.4,155.15692775552483,344.18438992078757,408.02672740839654,0.28,4148.5,99.7984,392.501,0.0,0,400,41485,0,0,0,0,41485,27022,0.6513679643244547,4351,7174,2938,0.10488128239122574,0.17292997468964685,0.07082077859467277
solana,0.35,4,25,4640711.88,1650.92,179.14958536394093,329.6806476646062,398.8652382361303,0.2,4127.3,92.9469,412.8919,0.001083,2,400,41273,0,0,0,0,41273,26950,0.6529692535071354,4322,7103,2898,0.10471736970901073,0.17209798173139826,0.0702153950524556
solana,0.35,5,25,4710948.0,1662.32,171.48697565034163,344.67241079236885,400.3721424006123,0.16,4155.8,99.2184,396.6501,0.0,0,400,41558,0,0,0,0,41558,26928,0.6479618845950238,4407,7308,2915,0.10604456422349487,0.17585061841282063,0.07014293276866067
solana,0.35,6,25,4775746.36,1668.56,152.08066658159254,314.91410915497056,357.91387302063,0.2,4171.4,98.2002,362.1699,0.0,0,400,41714,0,0,0,0,41714,26940,0.6458263412763101,4513,7263,2998,0.10818909718559716,0.17411420626168672,0.071870355276406
solana,0.35,7,25,4749931.36,1677.72,236.05137871471524,413.1827960637909,490.50520384811057,0.32,4194.3,99.9271,366.3755,0.0,0,400,41943,0,0,0,0,41943,27224,0.6490713587487781,4328,7454,2937,0.10318765944257684,0.17771737834680398,0.07002360346184107
solana,0.35,8,25,4731498.64,1667.24,181.7496394704389,368.70813508286216,418.0441125707054,0.28,4168.1,94.9798,391.8339,0.0,0,400,41681,0,0,0,0,41681,26946,0.6464816103260478,4438,7384,2913,0.10647537247186968,0.17715505865982104,0.06988795854226146
solana,0.35,9,25,4726244.76,1671.76,134.24985123355674,296.31684771099304,361.8683324997777,0.04,4179.4,82.844,371.2977,0.0,0,400,41794,0,0,0,0,41794,27086,0.6480834569555438,4435,7363,2910,0.10611571038905106,0.1761736134373355,0.06962721921806958
solana,0.35,10,25,4732888.44,1667.84,149.36167951674432,320.67962777209044,380.271823373449,0.12,4169.599999999999,88.156,398.4715,0.0,0,400,41696,0,0,0,0,41696,27018,0.6479758250191865,4389,7355,2934,0.10526189562547966,0.17639581734458942,0.07036646201074444
solana,0.4,1,25,5336767.12,1668.52,145.24189947366193,339.18664518013924,418.2557287919367,0.28,4171.3,101.5564,375.2408,0.0,0,400,41713,0,0,0,0,41713,25083,0.6013233284587539,4960,8240,3430,0.11890777455469517,0.19754033514731617,0.08222856183923477
solana,0.4,2,25,5342037.64,1663.16,237.95367812818807,428.79128671537615,484.1377418601522,0.72,4157.900000000001,126.3031,361.8998,0.0,0,400,41579,0,0,0,0,41579,24872,0.5981865845739436,4964,8331,3412,0.11938719064912576,0.2003655691575074,0.08206065561942327
solana,0.4,3,25,5298218.08,1659.4,158.44439196673542,368.5609184696323,432.0896402638778,0.64,4148.5,112.7059,374.4707,0.0,0,400,41485,0,0,0,0,41485,24859,0.5992286368566951,4959,8310,3357,0.11953718211401712,0.20031336627696758,0.08092081475232012
solana,0.4,4,25,5219205.2,1650.92,157.99623197582508,320.64962469280886,410.4833462931183,0.24,4127.3,104.4486,389.6259,0.0,0,400,41273,0,0,0,0,41273,24860,0.6023308216025004,4956,8168,3289,0.12007850168390957,0.19790177597945388,0.07968890073413612
solana,0.4,5,25,5325836.52,1662.32,174.4117725219431,360.9949676482582,446.53914700917477,0.32,4155.8,112.2585,381.7984,0.0,0,400,41558,0,0,0,0,41558,24783,0.5963472736897829,5004,8417,3354,0.1204100293565619,0.2025362144472785,0.08070648250637663
solana,0.4,6,25,5355615.04,1668.56,144.7350135934229,323.12857623081305,377.47150619998024,0.12,4171.4,109.8793,365.3059,0.0,0,400,41714,0,0,0,0,41714,24882,0.5964903869204583,5125,8304,3403,0.12286043055089418,0.19906985664285373,0.08157932588579374
solana,0.4,7,25,5338708.44,1677.72,167.1598301443141,385.37186689867997,468.91717876951145,0.72,4194.3,112.7894,371.549,0.0,0,400,41943,0,0,0,0,41943,25134,0.599241828195408,4980,8477,3352,0.11873256562477648,0.20210762224924303,0.07991798393057245
